1,1,2.61,6,1,1
2,2,3.22,2,1,1
1,1,3.55,1,1,1
1,1,2.55,5,1,1
1,1,3.15,3,1,0
2,1,3.75,2,2,1
2,1,3.75,2,2,1
2,1,3.87,1,1,0
2,1,3.58,2,2,1
1,1,2.3,3,1,1
2,1,3.02,3,1,1
1,2,2.9,1,1,0
2,1,2.98,3,1,1
1,1,2.41,6,1,1
1,2,2.91,2,1,1
2,2,2.48,2,1,0
1,2,2.5,3,1,1
2,2,3.83,2,1,0
2,2,3.36,4,1,0
2,1,2.97,6,1,0
1,1,3.42,6,1,1
2,1,3.29,3,1,0
2,1,2.1,3,1,0
2,1,2.37,3,1,0
2,1,3.3,6,1,0
2,1,2.74,6,1,1
2,1,2.25,2,1,0
1,1,2.3,3,2,1
2,1,3.4,2,2,1
1,2,3.25,4,1,1
1,2,2.49,2,1,0
1,2,2.16,3,2,1
2,2,2.85,6,1,0
1,1,2.37,3,1,0
2,1,2.8,4,1,0
2,1,3.98,6,3,1
2,1,3.11,3,1,1
1,1,3,2,1,1
1,2,3.25,3,1,0
1,2,1.87,2,1,0
2,2,2.5,6,1,0
2,2,2.86,6,1,0
1,1,2.3,1,3,1
1,1,2.64,2,1,1
1,1,1.83,1,2,0
2,1,2.8,5,1,0
1,1,3,2,1,0
1,2,2,2,1,0
2,2,3.68,4,1,0
2,1,2.03,2,1,1
2,1,3.25,2,2,1
1,2,2.14,5,1,1
1,2,2.35,1,4,1
1,2,1.97,3,1,1
2,2,3.06,2,4,1
2,2,3.06,2,4,1
2,2,3.36,2,1,0
1,1,3.24,2,1,0
1,2,2.86,1,1,0
2,2,3.44,5,1,0
1,2,2.97,3,2,0
1,2,2.49,3,4,1
1,1,3,3,4,0
1,2,3.55,6,1,0
1,2,2.6,1,1,1
2,1,3.13,3,2,0
2,1,3.24,3,1,0
1,1,3.44,6,1,1
1,1,2.51,1,3,1
2,2,2.78,3,2,0
1,1,3.14,2,2,1
1,1,2.5,5,1,1
1,1,2.98,4,2,1
2,1,2.91,1,4,1
2,1,2.75,2,4,1
1,1,2.98,3,1,1
2,2,3.41,6,1,1
1,2,3,2,1,1
1,1,2.53,3,1,1
2,2,3.03,3,1,0
1,1,2.61,6,1,1
2,2,3.22,2,1,1
1,1,3.55,1,1,1
1,1,2.55,5,1,1
1,1,3.15,3,1,0
2,1,3.75,2,2,1
2,1,3.75,2,2,1
2,1,3.87,1,1,0
2,1,3.58,2,2,1
1,1,2.3,3,1,1
2,1,3.02,3,1,1
1,2,2.9,1,1,0
2,1,2.98,3,1,1
1,1,2.41,6,1,1
1,2,2.91,2,1,1
2,2,2.48,2,1,0
1,2,2.5,3,1,1
2,2,3.83,2,1,0
2,2,3.36,4,1,0
2,1,2.97,6,1,0
1,1,3.42,6,1,1
2,1,3.29,3,1,0
2,1,2.1,3,1,0
2,1,2.37,3,1,0
2,1,3.3,6,1,0
2,1,2.74,6,1,1
2,1,2.25,2,1,0
1,1,2.3,3,2,1
2,1,3.4,2,2,1
1,2,3.25,4,1,1
1,2,2.49,2,1,0
1,2,2.16,3,2,1
2,2,2.85,6,1,0
1,1,2.37,3,1,0
2,1,2.8,4,1,0
2,1,3.98,6,3,1
2,1,3.11,3,1,1
1,1,3,2,1,1
1,2,3.25,3,1,0
1,2,1.87,2,1,0
2,2,2.5,6,1,0
2,2,2.86,6,1,0
1,1,2.3,1,3,1
1,1,2.64,2,1,1
1,1,1.83,1,2,0
2,1,2.8,5,1,0
1,1,3,2,1,0
1,2,2,2,1,0
2,2,3.68,4,1,0
2,1,2.03,2,1,1
2,1,3.25,2,2,1
1,2,2.14,5,1,1
1,2,2.35,1,4,1
1,2,1.97,3,1,1
2,2,3.06,2,4,1
2,2,3.06,2,4,1
2,2,3.36,2,1,0
1,1,3.24,2,1,0
1,2,2.86,1,1,0
2,2,3.44,5,1,0
1,2,2.97,3,2,0
1,2,2.49,3,4,1
1,1,3,3,4,0
1,2,3.55,6,1,0
1,2,2.6,1,1,1
2,1,3.13,3,2,0
2,1,3.24,3,1,0
1,1,3.44,6,1,1
1,1,2.51,1,3,1
2,2,2.78,3,2,0
1,1,3.14,2,2,1
1,1,2.5,5,1,1
1,1,2.98,4,2,1
2,1,2.91,1,4,1
2,1,2.75,2,4,1
1,1,2.98,3,1,1
2,2,3.41,6,1,1
1,2,3,2,1,1
1,1,2.53,3,1,1
2,2,3.03,3,1,0
1,1,2.61,6,1,1
2,2,3.22,2,1,1
1,1,3.55,1,1,1
1,1,2.55,5,1,1
1,1,3.15,3,1,0
2,1,3.75,2,2,1
2,1,3.75,2,2,1
2,1,3.87,1,1,0
2,1,3.58,2,2,1
1,1,2.3,3,1,1
2,1,3.02,3,1,1
1,2,2.9,1,1,0
2,1,2.98,3,1,1
1,1,2.41,6,1,1
1,2,2.91,2,1,1
2,2,2.48,2,1,0
1,2,2.5,3,1,1
2,2,3.83,2,1,0
2,2,3.36,4,1,0
2,1,2.97,6,1,0
1,1,3.42,6,1,1
2,1,3.29,3,1,0
2,1,2.1,3,1,0
2,1,2.37,3,1,0
2,1,3.3,6,1,0
2,1,2.74,6,1,1
2,1,2.25,2,1,0
1,1,2.3,3,2,1
2,1,3.4,2,2,1
1,2,3.25,4,1,1
1,2,2.49,2,1,0
1,2,2.16,3,2,1
2,2,2.85,6,1,0
1,1,2.37,3,1,0
2,1,2.8,4,1,0
2,1,3.98,6,3,1
2,1,3.11,3,1,1
1,1,3,2,1,1
1,2,3.25,3,1,0
1,2,1.87,2,1,0
2,2,2.5,6,1,0
2,2,2.86,6,1,0
1,1,2.3,1,3,1
1,1,2.64,2,1,1
1,1,1.83,1,2,0
2,1,2.8,5,1,0
1,1,3,2,1,0
1,2,2,2,1,0
2,2,3.68,4,1,0
2,1,2.03,2,1,1
2,1,3.25,2,2,1
1,2,2.14,5,1,1
1,2,2.35,1,4,1
1,2,1.97,3,1,1
2,2,3.06,2,4,1
2,2,3.06,2,4,1
2,2,3.36,2,1,0
1,1,3.24,2,1,0
1,2,2.86,1,1,0
2,2,3.44,5,1,0
1,2,2.97,3,2,0
1,2,2.49,3,4,1
1,1,3,3,4,0
1,2,3.55,6,1,0
1,2,2.6,1,1,1
2,1,3.13,3,2,0
2,1,3.24,3,1,0
1,1,3.44,6,1,1
1,1,2.51,1,3,1
2,2,2.78,3,2,0
1,1,3.14,2,2,1
1,1,2.5,5,1,1
1,1,2.98,4,2,1
2,1,2.91,1,4,1
2,1,2.75,2,4,1
1,1,2.98,3,1,1
2,2,3.41,6,1,1
1,2,3,2,1,1
